iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
0,587.4374,0.193751008,0.103320137,0.0156841166,-0.0783201382,0.0772271678,0,0,0,0,156
1,589.2607,0.00285030847,0,0,0.0271571372,0.0729269236,0,0,0,0,0
2,590.6799,0.0025403859,0,0,0.0299032871,0.0729265735,0,0,0,0,0
3,592.0751,0.00235079326,0,0,0.0316493399,0.0729285926,0,0,0,0,0
4,593.5234,0.00220911733,0,0,0.0324143246,0.0729325712,0,0,0,0,0
5,594.9752,0.00209551207,0,0,0.0329052359,0.072936818,0,0,0,0,0
6,596.5792,0.00199867086,0,0,0.0333563052,0.0729428008,0,0,0,0,0
7,597.9908,0.00191362834,0,0,0.033738371,0.072950393,0,0,0,0,0
8,599.5561,0.00183787078,0,0,0.0339771509,0.0729577392,0,0,0,0,0
9,600.9877,0.00176938958,0,0,0.0342503414,0.0729684383,0,0,0,0,0
10,602.4308,0.0017072304,0,0,0.0344808511,0.0729796812,0,0,0,0,0
11,603.8418,0.00165007331,0,0,0.0346582606,0.0729925409,0,0,0,0,0
12,605.2436,0.00159782159,0,0,0.0348309837,0.0730061904,0,0,0,0,0
13,606.7056,0.0015497701,0,0,0.0349807926,0.0730215609,0,0,0,0,0
14,608.096,0.00150577187,0,0,0.0350374356,0.0730380267,0,0,0,0,0
15,609.4741,0.00146541948,0,0,0.03504939,0.0730546191,0,0,0,0,0
16,610.9061,0.00142829656,0,0,0.0344471596,0.0730727017,0,0,0,0,0
17,612.4928,0.0013944281,0,0,0.0335894078,0.0730921328,0,0,0,0,0
18,613.9824,0.00136331272,0,0,0.0329499431,0.0731132179,0,0,0,0,0
19,615.5104,0.00133517416,0,0,0.0323975645,0.0731337443,0,0,0,0,0
20,616.9291,0.00130927152,0,0,0.0319435485,0.0731568635,0,0,0,0,0
