iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
0,766.8109,9.50391845,0.141041636,0.0131892944,-0.116041638,0.0819253772,0,1.22897745e-08,0,80,96
1,769.334,5.13661469,0,0,0.0277166925,0.135563284,0,0.0198713578,0,80,0
2,770.7228,3.77495115,0.0018545948,9.12884389e-07,0.0231454056,0.12679112,0,0.0241901483,0,80,1
3,772.1137,2.85889019,0,0,0.0313976854,0.119983144,0,0.0291925929,0,80,0
4,773.5116,2.23116861,0.00414184295,2.0387331e-06,0.0208581574,0.11450842,0,0.032335531,0,80,1
5,774.9043,1.79467152,0,0,0.0313233957,0.109762467,0,0.0345477238,0,80,0
6,776.287,1.48490545,0.00610362738,3.0043791e-06,0.018896373,0.105758555,0,0.0354815871,0,80,1
7,777.8349,1.2617397,0,0,0.0311673898,0.102605723,0,0.0363784023,0,80,0
8,779.3357,1.09545067,0.007999314,3.93748996e-06,0.0170006864,0.100077771,0,0.0362183154,0,80,1
9,780.8919,0.971165514,0,0,0.0312217176,0.0980061442,0,0.0367615297,0,80,0
10,782.4212,0.872392292,0.0110508418,5.43953911e-06,0.0139491586,0.0962460637,0,0.0360135846,0,80,1
11,783.9293,0.797734665,0,0,0.0312517211,0.0947618708,0,0.036925301,0,80,0
12,785.3099,0.732220002,0.0168659426,8.30189674e-06,0.00813405681,0.0934767351,0,0.0354755856,0,80,1
13,786.6897,0.688832079,0,0,0.0312681608,0.0924048722,0,0.0382538885,0,80,0
14,788.0667,0.639107741,0.0309781972,1.52483508e-05,-0.00597819733,0.0914279744,0,0.0349034965,0,80,1
15,789.9611,0.623502975,0,0,0.0309064146,0.0910341442,0,0.0373603404,0,80,0
16,791.3385,0.597107648,0,0,0.0307998862,0.0906055793,0,0.0347939916,0,80,0
17,792.7284,0.578656357,0,0,0.0306501947,0.0902180523,0,0.034244027,0,80,0
18,794.1201,0.56207033,0,0,0.0262429602,0.0898506716,0,0.0340004154,0,80,0
19,795.6787,0.546328907,0,0,0.0303063393,0.0894978791,0,0.033813186,0,80,0
20,797.3193,0.531356821,0,0,0.0263356511,0.0891622305,0,0.0335747637,0,80,0
21,799.2338,0.517092652,0,0,0.030180648,0.0888447389,0,0.0333807543,0,80,0
22,800.6156,0.503475089,0,0,0.0260018781,0.0885452852,0,0.0331332721,0,80,0
23,801.993,0.490458262,0,0,0.0300263185,0.0882598832,0,0.0329396203,0,80,0
24,803.3652,0.47797666,0,0,0.0251561254,0.08798825,0,0.0326766223,0,80,0
25,804.7607,0.252749202,0,0,0.031025067,0.0878647417,0,0.0295764562,0,40,0
26,806.1672,0.247922911,0.000582460314,2.86703539e-07,0.0244175401,0.0877461284,0,0.0272725057,0,40,1
27,807.5745,0.243895428,0,0,0.0309818108,0.0876289532,0,0.0257055201,0,40,0
28,808.9811,0.240223379,0.0019853618,9.77251602e-07,0.0230146386,0.0875134021,0,0.0243569296,0,40,1
29,810.3764,0.236896131,0,0,0.030944461,0.0874006376,0,0.0235809684,0,40,0
30,811.8164,0.23352488,0.0036760401,1.80945165e-06,0.0213239603,0.0872884169,0,0.0226575099,0,40,1
31,813.3363,0.230584242,0,0,0.0308893118,0.0871788561,0,0.0223947279,0,40,0
32,815.1033,0.227172822,0.00485432893,2.38943903e-06,0.0201456714,0.0870687664,0,0.0215948317,0,40,1
33,816.6216,0.22455698,0,0,0.0308798924,0.086961098,0,0.0217032917,0,40,0
34,818.0057,0.221021482,0.00628119893,3.09178495e-06,0.0187188014,0.0868537501,0,0.0208735038,0,40,1
35,819.3784,0.218865472,0,0,0.0308455732,0.0867523104,0,0.0213827584,0,40,0
36,820.7542,0.215052648,0.00831888616,4.09479253e-06,0.0166811142,0.0866472498,0,0.0203369707,0,40,1
37,822.1458,0.213802803,0,0,0.0307983644,0.0865527615,0,0.0214988049,0,40,0
38,823.525,0.209394875,0.0119093116,5.86210217e-06,0.0130906887,0.0864468962,0,0.0199117046,0,40,1
39,825.4213,0.208156589,0,0,0.030775344,0.086400114,0,0.0205368325,0,40,0
40,826.8198,0.205727781,0,0,0.0307705998,0.0863467529,0,0.0198619328,0,40,0
41,828.257,0.204145831,0,0,0.0262835864,0.0862976387,0,0.0196639951,0,40,0
42,829.814,0.20260992,0,0,0.0302344766,0.0862486139,0,0.0196112096,0,40,0
43,831.7218,0.201057624,0,0,0.0269154739,0.0861983895,0,0.0194832329,0,40,0
44,833.2359,0.199497371,0,0,0.0297056735,0.0861496106,0,0.0194198638,0,40,0
45,834.6182,0.19791954,0,0,0.0270651262,0.0860992447,0,0.019301381,0,40,0
46,835.9967,0.196328389,0,0,0.0296711177,0.0860481858,0,0.0192372985,0,40,0
47,837.3681,0.194725248,0,0,0.0269230846,0.0859978274,0,0.0191169698,0,40,0
48,838.738,0.193117271,0,0,0.0300233886,0.0859485641,0,0.0190593489,0,40,0
49,840.1151,0.191492681,0,0,0.0264785625,0.0858985782,0,0.0189325698,0,40,0
50,841.4812,0.189862366,0,0,0.0306907594,0.0858475119,0,0.0188912824,0,40,0
51,842.9015,0.188218727,0,0,0.0254375078,0.0857960582,0,0.0187415108,0,40,0
52,844.3633,0.186587345,0,0,0.0306718815,0.0857472569,0,0.0187440142,0,40,0
53,845.7552,0.18493557,0.00165956095,8.1688313e-07,0.0233404394,0.0856968313,0,0.0185456537,0,40,1
54,847.3779,0.183379258,0,0,0.0306519065,0.0856465101,0,0.0186703522,0,40,0
55,848.866,0.181671416,0.00441051647,2.17098182e-06,0.0205894839,0.0855959877,0,0.0183481649,0,40,1
56,850.3876,0.180408899,0,0,0.0306403358,0.0855458155,0,0.0187638067,0,40,0
57,851.7604,0.178358814,0.0059531834,2.93032645e-06,0.019046817,0.0854941458,0,0.0181621443,0,40,1
58,853.1329,0.177458868,0,0,0.0306594744,0.0854489058,0,0.0188850947,0,40,0
59,854.4997,0.175066313,0.00783341564,3.85583007e-06,0.0171665847,0.0853962824,0,0.0179737676,0,40,1
60,855.8692,0.174874837,0,0,0.0305829998,0.0853529871,0,0.0192520767,0,40,0
61,857.2545,0.171908205,0.0109042739,5.3673939e-06,0.0140957264,0.0852978751,0,0.0177952405,0,40,1
62,859.1547,0.17120536,0,0,0.0306020454,0.0852765441,0,0.018422002,0,40,0
63,860.5294,0.169573321,0,0,0.030595433,0.0852488801,0,0.0178393945,0,40,0
64,862.0347,0.168643275,0,0,0.0263771992,0.0852229819,0,0.0176979937,0,40,0
65,863.5463,0.167733729,0,0,0.0300870482,0.085196957,0,0.0176906344,0,40,0
66,864.9408,0.166815587,0,0,0.0270391684,0.0851721019,0,0.0176045671,0,40,0
67,866.4884,0.165882658,0,0,0.0295138862,0.0851442814,0,0.0175835565,0,40,0
68,868.0483,0.164937215,0,0,0.0272357613,0.0851181969,0,0.0175058469,0,40,0
69,869.436,0.163976612,0,0,0.0294136666,0.0850915238,0,0.0174795743,0,40,0
70,870.8074,0.163007579,0,0,0.0271708556,0.0850632042,0,0.0174003448,0,40,0
71,872.1624,0.16202512,0,0,0.0296228509,0.0850359723,0,0.0173761025,0,40,0
72,873.5458,0.161031048,0,0,0.0268284008,0.0850088224,0,0.0172896683,0,40,0
