iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
0,355.7329,10.0123413,0.379297048,0.112129003,-0.324297041,0,0,0,0,0,1769
1,369.5925,8.47693482,0,0,0.130414829,0,0,0,3.72800946,6.87200069,0
2,383.1811,4.81082685,0,0,0.280345738,0,0,0,3.4162488,5.98535013,0
3,402.2603,3.07702361,0,0,0.336270541,0,0,0,3.21999097,5.37132025,0
4,416.1787,2.22147931,0,0,0.346012563,0,0,0,3.08330917,4.93698788,0
5,435.2552,1.77179288,0,0,0.346281976,0,0,0,2.97755384,4.62091064,0
6,453.5934,1.5138665,0,0,0.346043527,0,0,0,2.88848352,4.38262844,0
7,470.8759,1.34945875,0,0,0.345998943,0,0,0,2.8090589,4.19564915,0
8,484.6705,1.23280037,0,0,0.346215993,0,0,0,2.73575544,4.04270649,0
9,498.1166,1.14213413,0,0,0.346274197,0,0,0,2.66675425,3.91258287,0
10,515.3262,1.06682567,0,0,0.34607935,0,0,0,2.60107064,3.79799628,0
11,533.451,1.00147097,0,0,0.345264703,0,0,0,2.53813624,3.69422078,0
12,551.6519,0.943176495,0,0,0.344103932,0,0,0,2.47759414,3.59818292,0
13,569.1155,0.890286424,0,0,0.343133658,0,0,0,2.41920185,3.50787854,0
14,582.7829,0.84177818,0,0,0.342380345,0,0,0,2.36277986,3.42199445,0
15,596.863,0.796968562,0,0,0.341058135,0,0,0,2.30818748,3.33966517,0
16,610.4264,0.755367479,0,0,0.339948744,0,0,0,2.25530887,3.26031446,0
17,623.9492,0.716601616,0,0,0.339088589,0,0,0,2.20404434,3.18355322,0
18,637.4986,0.680373553,0,0,0.338008672,0,0,0,2.15430784,3.10911274,0
19,651.3945,0.64643832,0,0,0.336894989,0,0,0,2.10602188,3.03680325,0
20,665.5158,0.614588874,0,0,0.336089611,0,0,0,2.05911732,2.96648479,0
21,678.9876,0.584647338,0,0,0.335352033,0,0,0,2.01353121,2.89805079,0
22,692.8336,0.556458704,0,0,0.334239095,0,0,0,1.96920586,2.83141589,0
23,706.7421,0.529886398,0,0,0.333480895,0,0,0,1.92608845,2.76650858,0
24,720.4645,0.504809231,0,0,0.332825571,0,0,0,1.88412976,2.70326734,0
25,734.1151,0.481118781,0,0,0.331806898,0,0,0,1.84328437,2.64163589,0
26,747.9484,0.458717543,0,0,0.331165016,0,0,0,1.80350983,2.58156371,0
27,761.6339,0.437517324,0,0,0.330637038,0,0,0,1.76476645,2.52300239,0
28,775.3062,0.41743812,0,0,0.329747349,0,0,0,1.72701705,2.46590686,0
29,788.7543,0.398406992,0,0,0.329227954,0,0,0,1.69022667,2.41023374,0
30,802.8149,0.380357283,0,0,0.328907728,0,0,0,1.65436232,2.35594153,0
31,816.5667,0.36322776,0,0,0.328134656,0,0,0,1.61939275,2.3029902,0
32,830.0095,0.34696225,0,0,0.327711254,0,0,0,1.58528852,2.25134087,0
33,843.6699,0.331508848,0,0,0.325616568,0,0,0,1.55202186,2.20095682,0
34,857.1624,0.316819658,0,0,0.323655933,0,0,0,1.51956582,2.15180182,0
35,871.1239,0.302850322,0,0,0.322078496,0,0,0,1.48789549,2.10384107,0
36,884.6428,0.289559714,0,0,0.320341527,0,0,0,1.45698667,2.05704165,0
37,898.1121,0.276909597,0,0,0.318696409,0,0,0,1.42681634,2.01137066,0
38,911.9274,0.264864411,0,0,0.317413688,0,0,0,1.39736283,1.96679747,0
39,925.4546,0.253391003,0,0,0.316453755,0,0,0,1.36860478,1.92329168,0
40,938.8901,0.242458389,0,0,0.315031022,0,0,0,1.34052241,1.88082409,0
41,952.8055,0.232037664,0,0,0.313877583,0,0,0,1.31309628,1.83936691,0
42,966.333,0.222101773,0,0,0.312990785,0,0,0,1.28630805,1.79889286,0
43,979.8571,0.212625359,0,0,0.31210497,0,0,0,1.26013982,1.75937557,0
44,993.8402,0.203584639,0,0,0.310946018,0,0,0,1.23457468,1.72078967,0
45,1007.3753,0.194957281,0,0,0.310010791,0,0,0,1.20959604,1.68311095,0
46,1021.0013,0.186722338,0,0,0.30829078,0,0,0,1.18518841,1.64631569,0
47,1035.3605,0.178860029,0,0,0.305651963,0,0,0,1.16133618,1.61038053,0
48,1049.1623,0.171351796,0,0,0.302598894,0,0,0,1.13802481,1.57528365,0
49,1062.9516,0.164180144,0,0,0.299709022,0,0,0,1.1152401,1.54100335,0
50,1076.4984,0.157328549,0,0,0.297125489,0,0,0,1.09296846,1.50751889,0
51,1090.4903,0.150781429,0,0,0.294848591,0,0,0,1.07119644,1.47480989,0
52,1104.7443,0.14452408,0,0,0.292258888,0,0,0,1.0499115,1.44285715,0
53,1118.209,0.138542589,0,0,0.289861858,0,0,0,1.02910101,1.41164148,0
54,1131.7787,0.132823806,0,0,0.287772804,0,0,0,1.00875318,1.38114452,0
55,1145.5088,0.127355273,0,0,0.285917401,0,0,0,0.988856196,1.35134828,0
56,1159.0584,0.122125218,0,0,0.284300745,0,0,0,0.969398916,1.3222357,0
57,1172.8583,0.11712247,0,0,0.282412738,0,0,0,0.950370491,1.29378974,0
58,1186.7352,0.112336441,0,0,0.280104667,0,0,0,0.931760252,1.26599419,0
